id,category,subcategory,directive,value,notes
1,Vision,ElevatorPitch,One sentence hook for the game.,,
2,Vision,OnePager,"3–5 sentence summary: genre, camera, core loop, twist.",,
3,Vision,PlayerFantasy,What the player feels powerful doing.,,
4,Vision,ComparableTitles,3 comps and what to emulate/avoid.,,
5,Vision,NorthStar,Non‑negotiable pillar that guides choices.,,
10,Audience,TargetSegment,Primary audience and psychographics.,,
11,Audience,AccessibilityGoals,Default settings and features for inclusion.,,
12,Platform,Targets,PC/Console/Mobile; OS; storefronts.,,
13,Platform,PerformanceTargets,"FPS, resolution, min spec, scalability tiers.",,
14,Platform,Input,"Keyboard/mouse, controller, touch, VR.",,
20,CoreLoop,Loop,X→Y→Z repeatable loop.,,
21,CoreLoop,WinLose,"Victory, loss, fail‑forward rules.",,
22,Mechanics,Movement,"Walk, sprint, jump, climb, swim, fly.",,
23,Mechanics,Combat,"Melee, ranged, abilities, cooldowns.",,
24,Mechanics,Stealth,"Visibility, sound, detection cones.",,
25,Mechanics,Crafting,"Inputs, stations, recipes, failure states.",,
26,Mechanics,Economy,"Currencies, sinks, faucets, pricing.",,
27,Mechanics,Progression,"XP, levels, skill trees, gear score.",,
28,Mechanics,Physics,"Gravity, ragdoll, destructibles, constraints.",,
29,Mechanics,Multiplayer,"Mode, max players, roles, match flow.",,
30,World,Setting,"Era, location, tone, tech level.",,
31,World,Biomes,Distinct areas and traversal rules.,,
32,Narrative,Premise,Inciting incident and stakes.,,
33,Narrative,Characters,"Protagonist, antagonist, cast beats.",,
34,Narrative,StoryStructure,"Act structure, branching points.",,
35,Narrative,LoreBible,Rules of the world and canon.,,
40,LevelDesign,Macro,Hub/linear/procedural; critical path.,,
41,LevelDesign,Micro,"Encounters, puzzles, pacing beats.",,
42,Content,Missions,"Count, length, structure, replayability.",,
43,Content,Enemies,"Archetypes, AI behaviors, counters.",,
44,Content,Items,"Loot tables, rarity, affixes.",,
50,Art,StyleGuide,"References, palettes, line weight, shaders.",,
51,Art,Characters,"Silhouette, rigging, LODs, blendshapes.",,
52,Art,Environment,"Modularity, trim sheets, foliage rules.",,
53,VFX,FXBible,"Hit sparks, trails, weather, fluids.",,
54,Audio,Soundscape,"Music pillars, SFX categories, VO style.",,
55,Audio,InteractiveMusic,"Stems, states, transitions.",,
60,UX,HUD,"Diegetic vs overlay, readability, color‑blind.",,
61,UX,Menus,"Main, pause, settings, inventory.",,
62,Telemetry,Analytics,"KPIs, events, privacy, storage.",,
63,Monetization,Model,"Premium, F2P, DLC, cosmetics, battle pass.",,
70,Tech,Language,"C++ only, Blueprints only, or hybrid rules.",,
71,Tech,Version,Unreal Engine version and required plugins.,,
72,Tech,Networking,"Replication model, authority, rollback.",,
73,Tech,SaveLoad,"Save slots, cloud, serialization rules.",,
74,Tech,BuildTargets,"Build configs, platforms, packaging.",,
75,Tech,PerformanceBudget,"CPU, GPU, mem, draw calls, triangle counts.",,
76,Tech,Tooling,"In‑editor tools, automation, debug UI.",,
80,Compliance,AgeRating,Target ESRB/PEGI and content limits.,,
81,Compliance,Legal,"Licenses, trademarks, third‑party assets.",,
90,Production,Team,"Roles, headcount, time zones.",,
91,Production,Milestones,"Prototype, Vertical Slice, Alpha, Beta, Gold.",,
92,Production,Risks,"Top risks, mitigations, kill criteria.",,
93,Production,Budget,"Cash, time, content scale, outsourcing.",,
